trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 0.95}",20,-56,-442.88131109692216,"{0: 46, 1: 0, 2: 22, 3: 2, 4: 6}",0
2,False,"{'a': 0.5, 'e': 0.8999999999999999}",25,-100,-627.9813661534175,"{0: 81, 1: 0, 2: 34, 3: 1, 4: 9}",0
3,False,"{'a': 0.5, 'e': 0.8499999999999999}",20,-6,-137.2787142704357,"{0: 16, 1: 0, 2: 8, 3: 0, 4: 2}",0
4,False,"{'a': 0.5, 'e': 0.7999999999999998}",25,-32,-309.23404653268824,"{0: 35, 1: 0, 2: 16, 3: 2, 4: 4}",0
5,False,"{'a': 0.5, 'e': 0.7499999999999998}",20,13,1.4461418675046778,"{0: 6, 1: 0, 2: 1, 3: 0, 4: 0}",1
6,False,"{'a': 0.5, 'e': 0.6999999999999997}",25,-100,-597.2295976202374,"{0: 84, 1: 0, 2: 31, 3: 0, 4: 10}",0
7,False,"{'a': 0.5, 'e': 0.6499999999999997}",25,-54,-246.63234280118104,"{0: 55, 1: 0, 2: 21, 3: 1, 4: 2}",0
8,False,"{'a': 0.5, 'e': 0.5999999999999996}",20,-32,-114.41639326613742,"{0: 38, 1: 0, 2: 12, 3: 2, 4: 0}",0
9,False,"{'a': 0.5, 'e': 0.5499999999999996}",20,-100,-491.7362870006352,"{0: 78, 1: 0, 2: 34, 3: 3, 4: 5}",0
10,False,"{'a': 0.5, 'e': 0.4999999999999996}",25,-5,-191.02345491868576,"{0: 19, 1: 0, 2: 6, 3: 2, 4: 3}",0
11,False,"{'a': 0.5, 'e': 0.4499999999999996}",20,-100,-647.240242075424,"{0: 77, 1: 0, 2: 30, 3: 4, 4: 9}",0
12,False,"{'a': 0.5, 'e': 0.39999999999999963}",25,-70,-446.74667125311163,"{0: 59, 1: 0, 2: 30, 3: 1, 4: 5}",0
13,False,"{'a': 0.5, 'e': 0.34999999999999964}",20,0,-35.176010931950934,"{0: 14, 1: 0, 2: 6, 3: 0, 4: 0}",1
14,False,"{'a': 0.5, 'e': 0.29999999999999966}",20,-100,-629.6099212823935,"{0: 75, 1: 0, 2: 35, 3: 1, 4: 9}",0
15,False,"{'a': 0.5, 'e': 0.24999999999999967}",20,-100,-826.8276099220516,"{0: 67, 1: 0, 2: 37, 3: 5, 4: 11}",0
16,False,"{'a': 0.5, 'e': 0.19999999999999968}",30,-10,-176.20938911509722,"{0: 26, 1: 0, 2: 11, 3: 1, 4: 2}",0
17,False,"{'a': 0.5, 'e': 0.1499999999999997}",20,-21,-176.1524811142834,"{0: 24, 1: 0, 2: 15, 3: 1, 4: 1}",0
18,False,"{'a': 0.5, 'e': 0.09999999999999969}",30,-18,-405.14887684098306,"{0: 26, 1: 0, 2: 12, 3: 4, 4: 6}",0
19,False,"{'a': 0.5, 'e': 0.049999999999999684}",30,-35,-347.19012763608214,"{0: 38, 1: 0, 2: 20, 3: 4, 4: 3}",0
20,False,"{'a': 0.5, 'e': -3.191891195797325e-16}",30,-44,-269.1871401490898,"{0: 50, 1: 0, 2: 20, 3: 1, 4: 3}",0
1,True,"{'a': 0, 'e': 0}",20,-62,-486.1752044562938,"{0: 48, 1: 0, 2: 27, 3: 0, 4: 7}",0
