trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.48, 'e': 0.9801986733067553}",35,0,-300.1024552630571,"{0: 20, 1: 4, 2: 5, 3: 0, 4: 6}",0
2,False,"{'a': 0.45999999999999996, 'e': 0.9607894391523232}",30,0,-105.01121754635702,"{0: 18, 1: 1, 2: 10, 3: 1, 4: 0}",0
3,False,"{'a': 0.43999999999999995, 'e': 0.9417645335842487}",30,0,-112.40050782142053,"{0: 21, 1: 3, 2: 4, 3: 0, 4: 2}",0
4,False,"{'a': 0.41999999999999993, 'e': 0.9231163463866358}",20,0,-87.66965432214208,"{0: 12, 1: 2, 2: 5, 3: 0, 4: 1}",0
5,False,"{'a': 0.3999999999999999, 'e': 0.9048374180359595}",30,0,-31.066655466456826,"{0: 24, 1: 1, 2: 5, 3: 0, 4: 0}",0
6,False,"{'a': 0.3799999999999999, 'e': 0.8869204367171575}",20,0,-82.22554156910498,"{0: 13, 1: 2, 2: 4, 3: 0, 4: 1}",0
7,False,"{'a': 0.3599999999999999, 'e': 0.8693582353988059}",20,14,9.282374036356726,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
8,False,"{'a': 0.33999999999999986, 'e': 0.8521437889662113}",25,11,-52.19685436565422,"{0: 10, 1: 1, 2: 2, 3: 0, 4: 1}",1
9,False,"{'a': 0.31999999999999984, 'e': 0.835270211411272}",20,0,-160.60149162375419,"{0: 10, 1: 2, 2: 4, 3: 2, 4: 2}",0
10,False,"{'a': 0.2999999999999998, 'e': 0.8187307530779818}",20,0,-60.955074684614154,"{0: 13, 1: 3, 2: 2, 3: 2, 4: 0}",0
11,False,"{'a': 0.2799999999999998, 'e': 0.8025187979624785}",25,8,-14.503423732941386,"{0: 13, 1: 2, 2: 2, 3: 0, 4: 0}",1
12,False,"{'a': 0.2599999999999998, 'e': 0.7866278610665535}",20,0,-150.36259921247682,"{0: 8, 1: 4, 2: 6, 3: 0, 4: 2}",0
13,False,"{'a': 0.2399999999999998, 'e': 0.7710515858035663}",25,2,-96.54257266372406,"{0: 17, 1: 1, 2: 3, 3: 0, 4: 2}",1
14,False,"{'a': 0.2199999999999998, 'e': 0.7557837414557255}",20,3,-94.44183400781792,"{0: 11, 1: 2, 2: 2, 3: 0, 4: 2}",1
15,False,"{'a': 0.19999999999999982, 'e': 0.7408182206817179}",25,0,-98.77352142503229,"{0: 18, 1: 2, 2: 3, 3: 0, 4: 2}",0
16,False,"{'a': 0.19999999999999982, 'e': 0.7261490370736909}",20,8,15.299015793327051,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
17,False,"{'a': 0.19999999999999982, 'e': 0.7117703227626097}",20,0,-53.15524831481458,"{0: 15, 1: 3, 2: 1, 3: 0, 4: 1}",0
18,False,"{'a': 0.19999999999999982, 'e': 0.697676326071031}",20,0,-110.32215509912695,"{0: 13, 1: 1, 2: 4, 3: 0, 4: 2}",0
19,False,"{'a': 0.19999999999999982, 'e': 0.6838614092123558}",25,0,-141.6213147640863,"{0: 15, 1: 1, 2: 7, 3: 0, 4: 2}",0
20,False,"{'a': 0.19999999999999982, 'e': 0.6703200460356393}",20,0,-30.024481921279477,"{0: 17, 1: 2, 2: 0, 3: 0, 4: 1}",0
21,False,"{'a': 0.19999999999999982, 'e': 0.6570468198150567}",20,0,-37.212115855340144,"{0: 17, 1: 0, 2: 2, 3: 0, 4: 1}",0
