trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 0.98}",25,0,-77.76814242557454,"{0: 21, 1: 1, 2: 0, 3: 1, 4: 2}",0
2,False,"{'a': 0.5, 'e': 0.96}",25,0,-155.86258673173714,"{0: 12, 1: 5, 2: 6, 3: 0, 4: 2}",0
3,False,"{'a': 0.5, 'e': 0.94}",20,0,-143.417466764082,"{0: 12, 1: 3, 2: 2, 3: 0, 4: 3}",0
4,False,"{'a': 0.5, 'e': 0.9199999999999999}",20,0,-125.856373465964,"{0: 8, 1: 5, 2: 5, 3: 1, 4: 1}",0
5,False,"{'a': 0.5, 'e': 0.8999999999999999}",20,3,-43.38502946587241,"{0: 11, 1: 3, 2: 2, 3: 1, 4: 0}",1
6,False,"{'a': 0.5, 'e': 0.8799999999999999}",25,20,10.385986323188018,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
7,False,"{'a': 0.5, 'e': 0.8599999999999999}",30,15,-34.537856918664346,"{0: 10, 1: 0, 2: 5, 3: 0, 4: 0}",1
8,False,"{'a': 0.5, 'e': 0.8399999999999999}",25,0,-78.15352999169797,"{0: 17, 1: 4, 2: 3, 3: 0, 4: 1}",0
9,False,"{'a': 0.5, 'e': 0.8199999999999998}",20,0,-144.58246650021943,"{0: 12, 1: 3, 2: 2, 3: 0, 4: 3}",0
10,False,"{'a': 0.5, 'e': 0.7999999999999998}",25,0,-114.89307654586503,"{0: 13, 1: 5, 2: 5, 3: 1, 4: 1}",0
11,False,"{'a': 0.5, 'e': 0.7799999999999998}",25,0,-32.15499975232919,"{0: 21, 1: 2, 2: 1, 3: 0, 4: 1}",0
12,False,"{'a': 0.5, 'e': 0.7599999999999998}",25,0,-118.82124130628289,"{0: 17, 1: 0, 2: 6, 3: 0, 4: 2}",0
13,False,"{'a': 0.5, 'e': 0.7399999999999998}",35,14,-34.91450369611942,"{0: 17, 1: 2, 2: 1, 3: 0, 4: 1}",1
14,False,"{'a': 0.5, 'e': 0.7199999999999998}",20,0,-48.927389192263725,"{0: 13, 1: 0, 2: 7, 3: 0, 4: 0}",0
15,False,"{'a': 0.5, 'e': 0.6999999999999997}",35,23,-40.22140649529668,"{0: 9, 1: 2, 2: 0, 3: 0, 4: 1}",1
16,False,"{'a': 0.5, 'e': 0.6799999999999997}",25,0,-108.08099787671787,"{0: 18, 1: 2, 2: 2, 3: 1, 4: 2}",0
17,False,"{'a': 0.5, 'e': 0.6599999999999997}",25,0,-154.43639142272417,"{0: 16, 1: 1, 2: 5, 3: 0, 4: 3}",0
18,False,"{'a': 0.5, 'e': 0.6399999999999997}",30,0,-52.65551103521457,"{0: 21, 1: 3, 2: 5, 3: 1, 4: 0}",0
19,False,"{'a': 0.5, 'e': 0.6199999999999997}",25,0,-38.152438379289514,"{0: 18, 1: 4, 2: 2, 3: 1, 4: 0}",0
20,False,"{'a': 0.5, 'e': 0.5999999999999996}",30,11,-53.93650713448548,"{0: 12, 1: 1, 2: 5, 3: 1, 4: 0}",1
21,False,"{'a': 0.5, 'e': 0.5799999999999996}",30,8,-120.86698134642415,"{0: 10, 1: 5, 2: 5, 3: 1, 4: 1}",1
22,False,"{'a': 0.5, 'e': 0.5599999999999996}",35,11,-32.564242927775915,"{0: 21, 1: 0, 2: 2, 3: 0, 4: 1}",1
23,False,"{'a': 0.5, 'e': 0.5399999999999996}",20,0,-66.27195716425463,"{0: 14, 1: 2, 2: 3, 3: 0, 4: 1}",0
24,False,"{'a': 0.5, 'e': 0.5199999999999996}",25,16,-6.674843756878081,"{0: 7, 1: 0, 2: 2, 3: 0, 4: 0}",1
25,False,"{'a': 0.5, 'e': 0.49999999999999956}",30,0,-202.97710836883599,"{0: 20, 1: 3, 2: 2, 3: 0, 4: 5}",0
26,False,"{'a': 0.5, 'e': 0.47999999999999954}",30,0,-74.16191463816983,"{0: 24, 1: 3, 2: 1, 3: 0, 4: 2}",0
27,False,"{'a': 0.5, 'e': 0.4599999999999995}",20,0,-80.66765479391537,"{0: 16, 1: 0, 2: 2, 3: 0, 4: 2}",0
28,False,"{'a': 0.5, 'e': 0.4399999999999995}",25,13,10.623576881657367,"{0: 11, 1: 0, 2: 1, 3: 0, 4: 0}",1
29,False,"{'a': 0.5, 'e': 0.4199999999999995}",20,0,-106.64808354649762,"{0: 13, 1: 1, 2: 4, 3: 0, 4: 2}",0
30,False,"{'a': 0.5, 'e': 0.39999999999999947}",25,0,-109.0432904928154,"{0: 18, 1: 2, 2: 2, 3: 1, 4: 2}",0
31,False,"{'a': 0.5, 'e': 0.37999999999999945}",30,0,3.627396496410735,"{0: 26, 1: 2, 2: 2, 3: 0, 4: 0}",0
32,False,"{'a': 0.5, 'e': 0.35999999999999943}",20,0,3.6117481195091,"{0: 17, 1: 2, 2: 1, 3: 0, 4: 0}",0
33,False,"{'a': 0.5, 'e': 0.3399999999999994}",35,0,-130.2540209703851,"{0: 27, 1: 1, 2: 4, 3: 0, 4: 3}",0
34,False,"{'a': 0.5, 'e': 0.3199999999999994}",20,0,-6.748572062861692,"{0: 16, 1: 2, 2: 2, 3: 0, 4: 0}",0
35,False,"{'a': 0.5, 'e': 0.2999999999999994}",20,16,7.082111465951015,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
36,False,"{'a': 0.5, 'e': 0.27999999999999936}",20,13,11.988790533257077,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
37,False,"{'a': 0.5, 'e': 0.25999999999999934}",20,12,16.026904745911324,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
38,False,"{'a': 0.5, 'e': 0.23999999999999935}",25,19,12.83628989226823,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
39,False,"{'a': 0.5, 'e': 0.21999999999999936}",20,9,-63.604186167391155,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 2}",1
40,False,"{'a': 0.5, 'e': 0.19999999999999937}",30,21,15.458597898550213,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
41,False,"{'a': 0.5, 'e': 0.17999999999999938}",25,8,25.85138383649752,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
42,False,"{'a': 0.5, 'e': 0.1599999999999994}",20,7,15.46148024400854,"{0: 12, 1: 1, 2: 0, 3: 0, 4: 0}",1
43,False,"{'a': 0.5, 'e': 0.1399999999999994}",25,8,16.252011365497374,"{0: 16, 1: 1, 2: 0, 3: 0, 4: 0}",1
