trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.48, 'e': 0.9801986733067553}",30,0,-208.51442757026211,"{0: 19, 1: 3, 2: 3, 3: 1, 4: 4}",0
2,False,"{'a': 0.45999999999999996, 'e': 0.9607894391523232}",30,0,-98.24884205657773,"{0: 19, 1: 6, 2: 4, 3: 0, 4: 1}",0
3,False,"{'a': 0.43999999999999995, 'e': 0.9417645335842487}",20,11,2.720143062205539,"{0: 8, 1: 0, 2: 1, 3: 0, 4: 0}",1
4,False,"{'a': 0.41999999999999993, 'e': 0.9231163463866358}",20,0,-123.20589356754125,"{0: 11, 1: 3, 2: 4, 3: 0, 4: 2}",0
5,False,"{'a': 0.3999999999999999, 'e': 0.9048374180359595}",25,0,-112.47469108078194,"{0: 17, 1: 2, 2: 3, 3: 1, 4: 2}",0
6,False,"{'a': 0.3799999999999999, 'e': 0.8869204367171575}",20,0,-102.39518971706364,"{0: 12, 1: 4, 2: 2, 3: 0, 4: 2}",1
7,False,"{'a': 0.3599999999999999, 'e': 0.8693582353988059}",25,6,-139.14685634251663,"{0: 6, 1: 4, 2: 7, 3: 1, 4: 1}",1
8,False,"{'a': 0.33999999999999986, 'e': 0.8521437889662113}",20,0,-83.77256264086049,"{0: 13, 1: 1, 2: 5, 3: 0, 4: 1}",0
9,False,"{'a': 0.31999999999999984, 'e': 0.835270211411272}",25,0,-160.25323070373022,"{0: 14, 1: 1, 2: 7, 3: 1, 4: 2}",0
10,False,"{'a': 0.2999999999999998, 'e': 0.8187307530779818}",20,0,-82.49542979679525,"{0: 11, 1: 5, 2: 3, 3: 0, 4: 1}",0
11,False,"{'a': 0.2799999999999998, 'e': 0.8025187979624785}",20,0,-110.09405905351417,"{0: 11, 1: 6, 2: 1, 3: 0, 4: 2}",0
12,False,"{'a': 0.2599999999999998, 'e': 0.7866278610665535}",20,0,-114.55280457152236,"{0: 9, 1: 5, 2: 4, 3: 1, 4: 1}",0
13,False,"{'a': 0.2399999999999998, 'e': 0.7710515858035663}",20,0,-81.21578729245212,"{0: 12, 1: 5, 2: 1, 3: 1, 4: 1}",0
14,False,"{'a': 0.2199999999999998, 'e': 0.7557837414557255}",25,0,-108.0323944094975,"{0: 14, 1: 3, 2: 7, 3: 0, 4: 1}",0
15,False,"{'a': 0.19999999999999982, 'e': 0.7408182206817179}",20,0,-54.958252271111704,"{0: 15, 1: 2, 2: 2, 3: 0, 4: 1}",0
16,False,"{'a': 0.19999999999999982, 'e': 0.7261490370736909}",25,0,-233.12527146256997,"{0: 12, 1: 3, 2: 5, 3: 1, 4: 4}",0
17,False,"{'a': 0.19999999999999982, 'e': 0.7117703227626097}",30,0,-102.6498657648682,"{0: 16, 1: 3, 2: 11, 3: 0, 4: 0}",0
18,False,"{'a': 0.19999999999999982, 'e': 0.697676326071031}",20,0,-52.4594036753864,"{0: 12, 1: 4, 2: 4, 3: 0, 4: 0}",0
19,False,"{'a': 0.19999999999999982, 'e': 0.6838614092123558}",20,0,-93.05796113383091,"{0: 8, 1: 5, 2: 6, 3: 1, 4: 0}",0
20,False,"{'a': 0.19999999999999982, 'e': 0.6703200460356393}",20,0,-115.42725770803219,"{0: 12, 1: 4, 2: 1, 3: 1, 4: 2}",0
1,True,"{'a': 0, 'e': 0}",25,0,-96.84486824600576,"{0: 16, 1: 1, 2: 7, 3: 0, 4: 1}",0
2,True,"{'a': 0, 'e': 0}",20,0,-39.46070921434561,"{0: 13, 1: 3, 2: 4, 3: 0, 4: 0}",0
3,True,"{'a': 0, 'e': 0}",25,0,-124.09663571289123,"{0: 16, 1: 2, 2: 5, 3: 0, 4: 2}",0
4,True,"{'a': 0, 'e': 0}",25,0,-101.2462736778343,"{0: 16, 1: 0, 2: 8, 3: 0, 4: 1}",0
5,True,"{'a': 0, 'e': 0}",25,0,-65.76084958821937,"{0: 16, 1: 1, 2: 8, 3: 0, 4: 0}",0
6,True,"{'a': 0, 'e': 0}",20,0,-110.5383616953098,"{0: 10, 1: 3, 2: 5, 3: 1, 4: 1}",0
7,True,"{'a': 0, 'e': 0}",25,0,-90.30046943571038,"{0: 18, 1: 1, 2: 4, 3: 1, 4: 1}",0
8,True,"{'a': 0, 'e': 0}",30,0,-177.55550951761302,"{0: 18, 1: 2, 2: 7, 3: 0, 4: 3}",1
9,True,"{'a': 0, 'e': 0}",25,0,-128.34131402647293,"{0: 15, 1: 3, 2: 5, 3: 0, 4: 2}",0
10,True,"{'a': 0, 'e': 0}",20,12,-10.132769135614858,"{0: 6, 1: 0, 2: 2, 3: 0, 4: 0}",1
