trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 0.7}",20,3,-59.220382847651955,"{0: 12, 1: 0, 2: 4, 3: 0, 4: 1}",1
2,False,"{'a': 0.5, 'e': 0.48999999999999994}",20,-1,-103.89755863569297,"{0: 12, 1: 0, 2: 8, 3: 0, 4: 1}",1
3,False,"{'a': 0.5, 'e': 0.3429999999999999}",20,-100,-837.9201760532399,"{0: 71, 1: 0, 2: 31, 3: 5, 4: 13}",0
4,False,"{'a': 0.5, 'e': 0.24009999999999992}",30,-29,-335.59126765003356,"{0: 36, 1: 0, 2: 18, 3: 0, 4: 5}",0
5,False,"{'a': 0.5, 'e': 0.16806999999999994}",30,-14,-217.78759269386873,"{0: 30, 1: 0, 2: 10, 3: 0, 4: 4}",0
6,False,"{'a': 0.5, 'e': 0.11764899999999995}",20,14,8.55467405133263,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
7,False,"{'a': 0.5, 'e': 0.08235429999999996}",25,9,7.5780413483769,"{0: 15, 1: 0, 2: 1, 3: 0, 4: 0}",1
8,False,"{'a': 0.5, 'e': 0.05764800999999997}",20,-55,-630.8736950420783,"{0: 44, 1: 0, 2: 17, 3: 2, 4: 12}",0
9,False,"{'a': 0.5, 'e': 0.04035360699999998}",25,3,-153.30749757693675,"{0: 13, 1: 0, 2: 5, 3: 2, 4: 2}",1
10,False,"{'a': 0.5, 'e': 0.028247524899999984}",20,-100,-663.1433754352788,"{0: 75, 1: 0, 2: 32, 3: 4, 4: 9}",0
11,False,"{'a': 0.5, 'e': 0.019773267429999988}",20,-22,-159.46238942141267,"{0: 28, 1: 0, 2: 11, 3: 2, 4: 1}",0
12,False,"{'a': 0.5, 'e': 0.01384128720099999}",25,-100,-1011.6045748688883,"{0: 69, 1: 0, 2: 36, 3: 3, 4: 17}",0
13,False,"{'a': 0.5, 'e': 0.009688901040699992}",25,-100,-560.4087635086682,"{0: 82, 1: 0, 2: 33, 3: 3, 4: 7}",0
14,False,"{'a': 0.5, 'e': 0.006782230728489994}",30,-10,-254.3345460196032,"{0: 26, 1: 0, 2: 9, 3: 0, 4: 5}",0
15,False,"{'a': 0.5, 'e': 0.004747561509942996}",20,-12,-178.724007983165,"{0: 18, 1: 0, 2: 12, 3: 0, 4: 2}",0
16,False,"{'a': 0.5, 'e': 0.003323293056960097}",25,6,-217.245123643582,"{0: 11, 1: 0, 2: 3, 3: 0, 4: 5}",1
17,False,"{'a': 0.5, 'e': 0.002326305139872068}",25,8,-109.19529806671623,"{0: 9, 1: 0, 2: 6, 3: 1, 4: 1}",1
18,False,"{'a': 0.5, 'e': 0.0016284135979104473}",20,14,-8.2474698655689,"{0: 4, 1: 0, 2: 2, 3: 0, 4: 0}",1
19,False,"{'a': 0.5, 'e': 0.001139889518537313}",25,-100,-480.4648058217889,"{0: 90, 1: 0, 2: 25, 3: 3, 4: 7}",0
20,False,"{'a': 0.5, 'e': 0.000797922662976119}",20,-100,-494.84160174719756,"{0: 79, 1: 0, 2: 34, 3: 1, 4: 6}",0
1,True,"{'a': 0, 'e': 0}",20,-18,-121.98311585922528,"{0: 28, 1: 0, 2: 8, 3: 0, 4: 2}",0
